"","generic","english","brandname","class_indication","searchterm"
"681",NA,"Potassium","K-Tab",NA,"potassium|k-tab"
"682","kaliumkloridi","potassium chloride","Kaleorid|Kaleorid|Kaleorid|Kaleorid|Kaleorid|Kaliumklorid Sandoz|Kaliumklorid Orifarm|Kaliumklorid Sandoz|Kaliumklorid Orifarm|Kaliumklorid Braun|Addex-Kaliumklorid",NA,"kaliumkloridi|potassium chloride|kaleorid|kaleorid|kaleorid|kaleorid|kaleorid|kaliumklorid sandoz|kaliumklorid orifarm|kaliumklorid sandoz|kaliumklorid orifarm|kaliumklorid braun|addex-kaliumklorid"
"683","laktuloosi","lactulose","Levolac|Lactulos Ratiopharm|Lactulos Ratiopharm|Lactulos Ratiopharm|Levolac|Levolac|Duphalac|Duphalac Fruit|Duphalac|Duphalac|Levolac","laxative","laktuloosi|lactulose|levolac|lactulos ratiopharm|lactulos ratiopharm|lactulos ratiopharm|levolac|levolac|duphalac|duphalac fruit|duphalac|duphalac|levolac"
"684","loperamidi","loperamide","Imodium|Imodium|Lopex|Lopex|Lopacut|Imocur|Imocur|Imocur|Imodium|Imodium|Imodium","laxative","loperamidi|loperamide|imodium|imodium|lopex|lopex|lopacut|imocur|imocur|imocur|imodium|imodium|imodium"
"685","prasugreeli","prasugreeli","Efient|Efient",NA,"prasugreeli|prasugreeli|efient|efient"
"686","makrogoli, yhdistelmävalmisteet","macrogol, combination products","Movicol Chocolate|Movicol|Movicol|Moxalole|Movicol|Movicol|Movicol|Moxalole|Moxalole|Movicol Plain|Movicol Plain|Movicol|Movicol|Movicol|Movicol Junior Chocolate|Movicol Junior Plain|Movicol Junior Plain|Moviprep|Moviprep|Moviprep","laxative","makrogoli, yhdistelmävalmisteet|macrogol, combination products|movicol chocolate|movicol|movicol|moxalole|movicol|movicol|movicol|moxalole|moxalole|movicol plain|movicol plain|movicol|movicol|movicol|movicol junior chocolate|movicol junior plain|movicol junior plain|moviprep|moviprep|moviprep"
"687","makrogoli","macrogols","Pegulos|Pegorion|Pegorion|Pegorion|Pegorion|Pegulos|Pegulos|Makrogoli Orion","laxative","makrogoli|macrogols|pegulos|pegorion|pegorion|pegorion|pegorion|pegulos|pegulos|makrogoli orion"
"688","klindamysiini","clindamycin","Dalacin|Dalacin|Clindamycin Mip|Clindamycin Mip|Clindamycin Mip|Clindamycin Sanoswiss|Dalacin|Dalacin|Dalacin|Clindamycin Mip|Clindamycin Sanoswiss|Clindamycin Orion|Dalacin|Clindamycin Mip|Dalacin|Dalacin|Clindamycin Orion|Dalacin|Clindamycin Mip|Clindamycin Fresenius Kabi|Clindamycin Fresenius Kabi|Dalacin|Dalacin|Dalacin|Dalacin|Dalacin|Dalacin|Dalacin|Dalacin","lincomycin","klindamysiini|clindamycin|dalacin|dalacin|clindamycin mip|clindamycin mip|clindamycin mip|clindamycin sanoswiss|dalacin|dalacin|dalacin|clindamycin mip|clindamycin sanoswiss|clindamycin orion|dalacin|clindamycin mip|dalacin|dalacin|clindamycin orion|dalacin|clindamycin mip|clindamycin fresenius kabi|clindamycin fresenius kabi|dalacin|dalacin|dalacin|dalacin|dalacin|dalacin|dalacin|dalacin"
"689",NA,"Clindamycin","Cleocin","lincomycin","clindamycin|cleocin"
"690","klindamysiini, yhdistelmävalmisteet","clindamycin, combination products","Acnatac|Acnatac|Acnatac","lincomycin","klindamysiini, yhdistelmävalmisteet|clindamycin, combination products|acnatac|acnatac|acnatac"
"691","roksitromysiini","Roxithromycin","Roxithromycin Sandoz|Roxithromycin Sandoz|Roxithromycin Sandoz|Roxithromycin Orifarm|Roxithromycin Sandoz|Roxithromycin Orifarm|Roxithromycin Sandoz|Roxithromycin Orifarm","macrolides","roksitromysiini|roxithromycin|roxithromycin sandoz|roxithromycin sandoz|roxithromycin sandoz|roxithromycin orifarm|roxithromycin sandoz|roxithromycin orifarm|roxithromycin sandoz|roxithromycin orifarm"
"692","useita entsyymejä (lipaasi, proteaasi jne.) sisältävät valmisteet","preparations containing several enzymes (lipase, protease, etc.)","Creon 25 000|Creon 25 000|Creon 25 000|Creon 10 000|Creon 10 000|Creon 10 000|Creon 10 000|Creon 35 000|Creon 35 000",NA,"useita entsyymejä (lipaasi, proteaasi jne.) sisältävät valmisteet|preparations containing several enzymes (lipase, protease, etc.)|creon 25 000|creon 25 000|creon 25 000|creon 10 000|creon 10 000|creon 10 000|creon 10 000|creon 35 000|creon 35 000"
"693","progesteroni","progesterone","Crinone|Crinone",NA,"progesteroni|progesterone|crinone|crinone"
"694","proguaniili, yhdistelmävalmisteet","proguanil, combination products","Malarone|Malarone|Malarone|Malarone",NA,"proguaniili, yhdistelmävalmisteet|proguanil, combination products|malarone|malarone|malarone|malarone"
"695","atsitromysiini","azithromycin","Azithromycin Stada|Azithromycin Sandoz|Azithromycin Sandoz|Azithromycin Krka|Azithromycin Krka|Azithromycin Ratiopharm|Azithromycin Sandoz|Azithromycin Sandoz|Azithromycin Stada|Azithromycin Orion|Zithromax|Zithromax|Azithromycin Ratiopharm|Azithromycin Krka|Azithromycin Ratiopharm|Zithromax|Zithromax|Azithromycin Mylan|Azithromycin Sandoz|Azithromycin Sandoz","macrolides","atsitromysiini|azithromycin|azithromycin stada|azithromycin sandoz|azithromycin sandoz|azithromycin krka|azithromycin krka|azithromycin ratiopharm|azithromycin sandoz|azithromycin sandoz|azithromycin stada|azithromycin orion|zithromax|zithromax|azithromycin ratiopharm|azithromycin krka|azithromycin ratiopharm|zithromax|zithromax|azithromycin mylan|azithromycin sandoz|azithromycin sandoz"
"696","propofoli","propofol","Propofol-Lipuro|Propofol-Lipuro|Propofol-Lipuro|Propolipid|Propolipid|Profast|Profast|Propolipid|Profast|Propofol-Lipuro|Profast|Propolipid",NA,"propofoli|propofol|propofol-lipuro|propofol-lipuro|propofol-lipuro|propolipid|propolipid|profast|profast|propolipid|profast|propofol-lipuro|profast|propolipid"
"697",NA,"Azithromycin","Zithromax","macrolides","azithromycin|zithromax"
"698","bleomysiini","bleomycin","Bleomycin Baxter","macrolides","bleomysiini|bleomycin|bleomycin baxter"
"699","klaritromysiini","clarithromycin","Clarithromycin Krka|Clarithromycin Accord|Zeclar|Klacid|Klacid|Zeclar|Clarithromycin Accord|Clarithromycin Krka|Clarithromycin Accord|Zeclar|Klacid Od|Zeclar Od|Zeclar Od|Klacid Od","macrolides","klaritromysiini|clarithromycin|clarithromycin krka|clarithromycin accord|zeclar|klacid|klacid|zeclar|clarithromycin accord|clarithromycin krka|clarithromycin accord|zeclar|klacid od|zeclar od|zeclar od|klacid od"
"700","protamiini","protamine","Protaminsulfat Leo Pharma|Protaminsulfat Leo Pharma",NA,"protamiini|protamine|protaminsulfat leo pharma|protaminsulfat leo pharma"
"701","prukalopridi","prucalopride","Resolor|Resolor",NA,"prukalopridi|prucalopride|resolor|resolor"
"702","pseudoefedriini, yhdistelmävalmisteet","pseudoephedrine, combination products","Aerinaze|Aerinaze|Aerinaze|Cirrus|Cirrus|Cirrus|Cirrus|Duact|Duact|Duact",NA,"pseudoefedriini, yhdistelmävalmisteet|pseudoephedrine, combination products|aerinaze|aerinaze|aerinaze|cirrus|cirrus|cirrus|cirrus|duact|duact|duact"
"703",NA,"Clarithromycin","Biaxin","macrolides","clarithromycin|biaxin"
"704","erytromysiini","erythromycin","Abboticin|Abboticin","macrolides","erytromysiini|erythromycin|abboticin|abboticin"
"705","metformiini","metformin","Glucophage|Glucophage|Metforem|Metformin Stada|Oramet-Hexal|Metformin Vitabalans|Metformin Actavis|Metformin Mylan|Metformin Vitabalans|Glucophage|Oramet|Metformin Actavis|Metformin Mylan|Oramet|Diformin Retard|Metforem|Metforem|Diformin Retard|Diformin Retard|Metforem|Diformin Retard|Metforem|Metforem|Diformin Retard|Diformin Retard|Metformin Orion|Diformin Retard","metformin","metformiini|metformin|glucophage|glucophage|metforem|metformin stada|oramet-hexal|metformin vitabalans|metformin actavis|metformin mylan|metformin vitabalans|glucophage|oramet|metformin actavis|metformin mylan|oramet|diformin retard|metforem|metforem|diformin retard|diformin retard|metforem|diformin retard|metforem|metforem|diformin retard|diformin retard|metformin orion|diformin retard"
"706","metformiini","metformin","Glucophage|Glucophage|Metforem|Metformin Stada|Oramet-Hexal|Metformin Vitabalans|Metformin Actavis|Metformin Mylan|Metformin Vitabalans|Glucophage|Oramet|Metformin Actavis|Metformin Mylan|Oramet|Diformin Retard|Metforem|Metforem|Diformin Retard|Diformin Retard|Metforem|Diformin Retard|Metforem|Metforem|Diformin Retard|Diformin Retard|Metformin Orion|Diformin Retard","metformin","metformiini|metformin|glucophage|glucophage|metforem|metformin stada|oramet-hexal|metformin vitabalans|metformin actavis|metformin mylan|metformin vitabalans|glucophage|oramet|metformin actavis|metformin mylan|oramet|diformin retard|metforem|metforem|diformin retard|diformin retard|metforem|diformin retard|metforem|metforem|diformin retard|diformin retard|metformin orion|diformin retard"
"707",NA,"Metformin","Glucophage","metformin","metformin|glucophage"
"708","metformiini ja dapagliflotsiini","metformin and dapagliflocin","Xigduo|Xigduo|Xigduo|Xigduo|Xigduo|Xigduo|Xigduo","metformin","metformiini ja dapagliflotsiini|metformin and dapagliflocin|xigduo|xigduo|xigduo|xigduo|xigduo|xigduo|xigduo"
"709","metformiini ja empagliflotsiini","metformin and empagliflocin","Synjardy|Synjardy|Synjardy|Synjardy","metformin","metformiini ja empagliflotsiini|metformin and empagliflocin|synjardy|synjardy|synjardy|synjardy"
"710","metformiini ja vildagliptiini","metformin and vildagliptin","Eucreas|Eucreas|Eucreas|Eucreas|Eucreas","metformin","metformiini ja vildagliptiini|metformin and vildagliptin|eucreas|eucreas|eucreas|eucreas|eucreas"
"711","ramusirumabi","ramusirumab","Cyramza|Cyramza",NA,"ramusirumabi|ramusirumab|cyramza|cyramza"
"712","ranibitsumabi","ranibizumab","Lucentis",NA,"ranibitsumabi|ranibizumab|lucentis"
"713","metformiini ja sitagliptiini","metformin and sitagliptin","Janumet|Velmetia|Janumet|Janumet|Velmetia|Janumet|Janumet|Janumet|Velmetia|Velmetia","metformin","metformiini ja sitagliptiini|metformin and sitagliptin|janumet|velmetia|janumet|janumet|velmetia|janumet|janumet|janumet|velmetia|velmetia"
"714","rasagiliini","rasagiline","Rasagilin Krka|Azilect|Rasagilin Stada|Rasagiline Sandoz|Rasagiline Accord|Rasagiline Sandoz|Rasabon|Rasagiline Accord|Rasabon|Rasagiline Mylan|Rasagilin Krka|Rasagilin Stada",NA,"rasagiliini|rasagiline|rasagilin krka|azilect|rasagilin stada|rasagiline sandoz|rasagiline accord|rasagiline sandoz|rasabon|rasagiline accord|rasabon|rasagiline mylan|rasagilin krka|rasagilin stada"
"715","rasekadotriili","rasecadotril","Hidrasec|Hidrasec|Vaprino",NA,"rasekadotriili|rasecadotril|hidrasec|hidrasec|vaprino"
"716","regorafenibi","regorafenib","Stivarga|Stivarga|Stivarga|Stivarga",NA,"regorafenibi|regorafenib|stivarga|stivarga|stivarga|stivarga"
"717","remifentaniili","remifentanil","Remifentanil B. Braun|Ultiva|Ultiva|Remifentanil B. Braun|Remifentanil B. Braun|Ultiva",NA,"remifentaniili|remifentanil|remifentanil b. braun|ultiva|ultiva|remifentanil b. braun|remifentanil b. braun|ultiva"
"718","repaglinidi","repaglinide","Repaglinid Stada|Repaglinide Krka|Repaglinide Accord|Repaglinide Krka|Repaglinide Accord|Repaglinid Stada|Repaglinid Stada|Repaglinide Krka|Repaglinide Accord",NA,"repaglinidi|repaglinide|repaglinid stada|repaglinide krka|repaglinide accord|repaglinide krka|repaglinide accord|repaglinid stada|repaglinid stada|repaglinide krka|repaglinide accord"
"719","reslitsumabi","reslizumab","Cinqaero|Cinqaero",NA,"reslitsumabi|reslizumab|cinqaero|cinqaero"
"720","fentanyyli","fentanyl","Durogesic|Matrifen|Fentanyl Ratiopharm|Fentanyl Stada|Durogesic|Matrifen|Fentanyl Stada|Fentanyl Ratiopharm|Durogesic|Matrifen|Fentanyl Ratiopharm|Fentanyl Stada|Durogesic|Matrifen|Fentanyl Ratiopharm|Fentanyl Stada|Durogesic|Matrifen|Fentanyl Ratiopharm|Fentanyl Stada|Fentanyl Hameln|Fentanyl Hameln|Fentanyl Hameln|Fentanyl|Fentanyl","analgesic","fentanyyli|fentanyl|durogesic|matrifen|fentanyl ratiopharm|fentanyl stada|durogesic|matrifen|fentanyl stada|fentanyl ratiopharm|durogesic|matrifen|fentanyl ratiopharm|fentanyl stada|durogesic|matrifen|fentanyl ratiopharm|fentanyl stada|durogesic|matrifen|fentanyl ratiopharm|fentanyl stada|fentanyl hameln|fentanyl hameln|fentanyl hameln|fentanyl|fentanyl"
"721","rifabutiini","rifabutin","Ansatipin|Ansatipin",NA,"rifabutiini|rifabutin|ansatipin|ansatipin"
"722","rifaksimiini","rifaximin","Targaxan|Targaxan",NA,"rifaksimiini|rifaximin|targaxan|targaxan"
"723",NA,"Fentanyl","Duragesic","analgesic","fentanyl|duragesic"
"724","rilutsoli","riluzole","Rilutek|Rilutek|Rilutek",NA,"rilutsoli|riluzole|rilutek|rilutek|rilutek"
"725","riosiguaatti","riosigua","Adempas|Adempas|Adempas|Adempas|Adempas|Adempas|Adempas|Adempas",NA,"riosiguaatti|riosigua|adempas|adempas|adempas|adempas|adempas|adempas|adempas|adempas"
"726","baklofeeni","Baclofen","Baklofen Mylan|Lioresal|Baklofen Mylan|Baklofen Mylan|Lioresal|Baklofen Mylan|Lioresal|Baklofen Mylan|Baklofen Mylan","muscle relaxant","baklofeeni|baclofen|baklofen mylan|lioresal|baklofen mylan|baklofen mylan|lioresal|baklofen mylan|lioresal|baklofen mylan|baklofen mylan"
"727",NA,"Baclofen","Gablofen","muscle relaxant","baclofen|gablofen"
"728",NA,"Carisoprodol","Soma","muscle relaxant","carisoprodol|soma"
"729",NA,"Cyclobenzaprin","Flexeril","muscle relaxant","cyclobenzaprin|flexeril"
"730",NA,"Methocarbamol","Robaxin","muscle relaxant","methocarbamol|robaxin"
"731","rituksimabi","rituximab","Mabthera|Mabthera|Rixathon|Rixathon",NA,"rituksimabi|rituximab|mabthera|mabthera|rixathon|rixathon"
"732","rivaroksabaani","rivaroxaban","Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto|Xarelto",NA,"rivaroksabaani|rivaroxaban|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto|xarelto"
"733","titsanidiini","Tizanidin","Sirdalud|Sirdalud|Sirdalud|Tizanidin Orion|Tizanidin Orion|Sirdalud|Sirdalud|Sirdalud|Tizanidin Orion|Tizanidin Orion","muscle relaxant","titsanidiini|tizanidin|sirdalud|sirdalud|sirdalud|tizanidin orion|tizanidin orion|sirdalud|sirdalud|sirdalud|tizanidin orion|tizanidin orion"
"734",NA,"Tizanidin","Zanaflex","muscle relaxant","tizanidin|zanaflex"
"735",NA,"Niacin","Niaspan","nicotinic acid","niacin|niaspan"
"736","ritsatriptaani","rizatriptan","Rizastad|Rizastad|Maxalt Rapitab|Maxalt Rapitab|Rizastad|Maxalt Rapitab|Rizatriptan Stada|Rizatriptan Stada|Maxalt|Rizatriptan Stada|Rizatriptan Stada|Rizatriptan Stada",NA,"ritsatriptaani|rizatriptan|rizastad|rizastad|maxalt rapitab|maxalt rapitab|rizastad|maxalt rapitab|rizatriptan stada|rizatriptan stada|maxalt|rizatriptan stada|rizatriptan stada|rizatriptan stada"
"737","rokuroniumbromidi","rocuronium bromide","Esmeron|Rocuronium Fresenius Kabi|Rocuronium Fresenius Kabi|Rocuronium Hameln|Rocuronium Hameln|Rocuronium B. Braun",NA,"rokuroniumbromidi|rocuronium bromide|esmeron|rocuronium fresenius kabi|rocuronium fresenius kabi|rocuronium hameln|rocuronium hameln|rocuronium b. braun"
"738","selekoksibi","celecoxib","Celebra|Celecoxib Krka|Celebra|Celecoxib Stada|Celecoxib Krka|Celecoxib Orion|Celecoxib Pfizer|Celecoxib Stada|Celecoxib Stada|Celecoxib Sandoz|Celecoxib Orion|Celecoxib Pfizer|Celebra|Celebra|Celecoxib Krka|Celecoxib Pfizer|Celecoxib Stada|Celecoxib Pfizer|Celecoxib Stada|Celecoxib Stada|Celebra|Celecoxib Sandoz|Celecoxib Krka|Celecoxib Stada|Celecoxib Orion|Celecoxib Sandoz|Celecoxib Orion|Celecoxib Krka","NSAID","selekoksibi|celecoxib|celebra|celecoxib krka|celebra|celecoxib stada|celecoxib krka|celecoxib orion|celecoxib pfizer|celecoxib stada|celecoxib stada|celecoxib sandoz|celecoxib orion|celecoxib pfizer|celebra|celebra|celecoxib krka|celecoxib pfizer|celecoxib stada|celecoxib pfizer|celecoxib stada|celecoxib stada|celebra|celecoxib sandoz|celecoxib krka|celecoxib stada|celecoxib orion|celecoxib sandoz|celecoxib orion|celecoxib krka"
"739","ropeginterferoni alfa-2b","ropeginterferon alfa-2b","Besremi|Besremi",NA,"ropeginterferoni alfa-2b|ropeginterferon alfa-2b|besremi|besremi"
"740",NA,"Celecoxib","Celebrex","NSAID","celecoxib|celebrex"
"741","kodeiini ja ibuprofeeni","codeine and ibuprofen","Ardinex|Ardinex|Ardinex|Ardinex","NSAID","kodeiini ja ibuprofeeni|codeine and ibuprofen|ardinex|ardinex|ardinex|ardinex"
"742","ropivakaiini","ropivacain","Ropivacaine B. Braun|Ropivacain Fresenius Kabi|Ropivacaine B. Braun|Ropivacain Fresenius Kabi|Ropivacain Fresenius Kabi|Ropivacain Fresenius Kabi|Ropivacain Fresenius Kabi",NA,"ropivakaiini|ropivacain|ropivacaine b. braun|ropivacain fresenius kabi|ropivacaine b. braun|ropivacain fresenius kabi|ropivacain fresenius kabi|ropivacain fresenius kabi|ropivacain fresenius kabi"
"743","deksketoprofeeni","dexketoprofen","Ketesse|Dexketoprofen Krka","NSAID","deksketoprofeeni|dexketoprofen|ketesse|dexketoprofen krka"
"744","diklofenaakki","Diclofenac","Voltaren|Voltaren|Diclomex|Diclomex|Voltaren|Diclomex Rapid|Diclomex Rapid|Diclomex Rapid|Dicuno|Voltaren Rapid|Dicuno|Voltaren Rapid|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Emulgel|Voltaren Ophtha|Dicloabak|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Diclofenac ratiopharm|Voltaren Forte|Diclofenac ratiopharm|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Voltaren Forte|Diclofenac ratiopharm|Voltaren Retard|Voltaren Retard|Voltaren Retard|Voltaren Retard|Voltaren Retard","NSAID","diklofenaakki|diclofenac|voltaren|voltaren|diclomex|diclomex|voltaren|diclomex rapid|diclomex rapid|diclomex rapid|dicuno|voltaren rapid|dicuno|voltaren rapid|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren emulgel|voltaren ophtha|dicloabak|voltaren forte|voltaren forte|voltaren forte|voltaren forte|diclofenac ratiopharm|voltaren forte|diclofenac ratiopharm|voltaren forte|voltaren forte|voltaren forte|voltaren forte|voltaren forte|voltaren forte|voltaren forte|voltaren forte|voltaren forte|diclofenac ratiopharm|voltaren retard|voltaren retard|voltaren retard|voltaren retard|voltaren retard"
"745","rotigotiini","rotigotin","Neupro|Neupro|Neupro|Neupro|Neupro|Neupro|Neupro",NA,"rotigotiini|rotigotin|neupro|neupro|neupro|neupro|neupro|neupro|neupro"
"746",NA,"Diclofenac","Voltaren","NSAID","diclofenac|voltaren"
"747","ruksolitinibi","rucolitinib","Jakavi|Jakavi|Jakavi",NA,"ruksolitinibi|rucolitinib|jakavi|jakavi|jakavi"
"748","saccharomyces boulardii","Saccharomyces boulardii","Precosa|Precosa|Precosa|Precosa|Precosa|Precosa|Precosa",NA,"saccharomyces boulardii|saccharomyces boulardii|precosa|precosa|precosa|precosa|precosa|precosa|precosa"
"749","salbutamoli ja ipratropiumbromidi","salbutamol and ipratropium bromide","Ipratropium/Salbutamol Orion|Atrodual",NA,"salbutamoli ja ipratropiumbromidi|salbutamol and ipratropium bromide|ipratropium/salbutamol orion|atrodual"
"750","salmeteroli ja flutikasoni","salmeterol and fluticasone","Salmex|Seretide Diskus|Salmex|Seretide Diskus|Seretide Diskus|Salmex|Salmex|Seretide Diskus|Seretide Diskus|Salmex|Salmex|Seretide Diskus",NA,"salmeteroli ja flutikasoni|salmeterol and fluticasone|salmex|seretide diskus|salmex|seretide diskus|seretide diskus|salmex|salmex|seretide diskus|seretide diskus|salmex|salmex|seretide diskus"
"751","ibuprofeeni","Ibuprofen","Ibumax|Burana|Burana|Burana|Ibusal|Ibutabs|Ibuxin|Ibuxin|Ibusal|Burana|Burana|Burana|Ibumax|Burana|Burana-Caps|Ibutabs|Ibusal|Burana-Caps|Ibuxin|Ibuxin|Ibumax|Ibumax|Ibumax|Burana|Ibumax|Burana|Ibusal|Burana-Caps|Burana-Caps|Ibumax|Ibumax|Ibuxin|Ibuxin|Burana|Ibumetin|Burana|Burana|Ibumax|Ibumax|Ibuxin|Ibuxin|Burana|Burana|Burana|Burana|Burana|Ibuprofen Farmalider|Ibuver|Ibuver|Ibuxin rapid|Ibuxin rapid","NSAID","ibuprofeeni|ibuprofen|ibumax|burana|burana|burana|ibusal|ibutabs|ibuxin|ibuxin|ibusal|burana|burana|burana|ibumax|burana|burana-caps|ibutabs|ibusal|burana-caps|ibuxin|ibuxin|ibumax|ibumax|ibumax|burana|ibumax|burana|ibusal|burana-caps|burana-caps|ibumax|ibumax|ibuxin|ibuxin|burana|ibumetin|burana|burana|ibumax|ibumax|ibuxin|ibuxin|burana|burana|burana|burana|burana|ibuprofen farmalider|ibuver|ibuver|ibuxin rapid|ibuxin rapid"
"752",NA,"Ibuprofen","Advil|burana","NSAID","ibuprofen|advil|burana"
"753","selegiliini","Selegiline","Eldepryl|Eldepryl",NA,"selegiliini|selegiline|eldepryl|eldepryl"
"754",NA,"Meloxicam","Mobic","NSAID","meloxicam|mobic"
"755","seritinibi","seritinib","Zykadia",NA,"seritinibi|seritinib|zykadia"
"756","sertolitsumabipegoli","sertolizumab pegol","Cimzia|Cimzia|Cimzia|Cimzia|Cimzia",NA,"sertolitsumabipegoli|sertolizumab pegol|cimzia|cimzia|cimzia|cimzia|cimzia"
"757",NA,"Nabumeton","Relafen","NSAID","nabumeton|relafen"
"758","naprokseeni","Naproxen","Pronaxen|Pronaxen|Pronaxen|Pronaxen|Pronaxen|Pronaxen|Napromex|Napromex|Naprometin|Naproxen Mylan|Naproxen Mylan|Naprometin|Miranax|Miranax|Naproxen Krka|Naproxen Krka|Naproxen Krka","NSAID","naprokseeni|naproxen|pronaxen|pronaxen|pronaxen|pronaxen|pronaxen|pronaxen|napromex|napromex|naprometin|naproxen mylan|naproxen mylan|naprometin|miranax|miranax|naproxen krka|naproxen krka|naproxen krka"
"759","sevelameeri","sevelamer","Renvela|Sevelamer Pharmathen|Sevelamer Avansor|Sevelamer Pharmathen|Renvela|Renvela",NA,"sevelameeri|sevelamer|renvela|sevelamer pharmathen|sevelamer avansor|sevelamer pharmathen|renvela|renvela"
"760","sevofluraani","sevofluran","Sevorane|Sevofluran Baxter|Sevofluran Baxter",NA,"sevofluraani|sevofluran|sevorane|sevofluran baxter|sevofluran baxter"
"761","sildenafiili","sildenafil","Vizarsin|Vizarsin|Sildenafil Pfizer|Sildenafil Stada|Sildenafil Stada|Sildenafil Orion|Vizarsin|Vizarsin|Vizarsin|Sildenafil Orion|Sildenafil Ratiopharm|Sildenafil Ratiopharm|Sildenafil Ratiopharm|Sildenafil Sandoz|Sildenafil Pfizer|Vizarsin|Sildenafil Sandoz|Sildenafil Stada|Sildenafil Orion|Sildenafil Accord|Sildenafil Sandoz|Sildenafil Stada|Vizarsin|Sildenafil Stada|Viagra|Viagra|Viagra|Sildenafil Stada|Sildenafil Orion|Sildenafil Sandoz|Sildenafil Ratiopharm|Vizarsin|Vizarsin|Vizarsin|Sildenafil Pfizer|Sildenafil Ratiopharm|Sildenafil Ratiopharm|Sildenafil Ratiopharm|Sildenafil Orion|Sildenafil Stada|Sildenafil Accord|Sildenafil Sandoz|Sildenafil Pfizer|Sildenafil Sandoz|Sildenafil Ratiopharm|Sildenafil Sandoz|Sildenafil Pfizer|Sildenafil Orion|Sildenafil Orion|Sildenafil Accord|Vizarsin|Viagra|Viagra|Viagra|Sildenafil Stada|Sildenafil Sandoz|Sildenafil Stada|Vizarsin|Sildenafil Orion|Sildenafil Stada|Revatio|Sildenafil Teva Pharma|Granpidam|Granpidam|Orisild|Revastad|Balcoga",NA,"sildenafiili|sildenafil|vizarsin|vizarsin|sildenafil pfizer|sildenafil stada|sildenafil stada|sildenafil orion|vizarsin|vizarsin|vizarsin|sildenafil orion|sildenafil ratiopharm|sildenafil ratiopharm|sildenafil ratiopharm|sildenafil sandoz|sildenafil pfizer|vizarsin|sildenafil sandoz|sildenafil stada|sildenafil orion|sildenafil accord|sildenafil sandoz|sildenafil stada|vizarsin|sildenafil stada|viagra|viagra|viagra|sildenafil stada|sildenafil orion|sildenafil sandoz|sildenafil ratiopharm|vizarsin|vizarsin|vizarsin|sildenafil pfizer|sildenafil ratiopharm|sildenafil ratiopharm|sildenafil ratiopharm|sildenafil orion|sildenafil stada|sildenafil accord|sildenafil sandoz|sildenafil pfizer|sildenafil sandoz|sildenafil ratiopharm|sildenafil sandoz|sildenafil pfizer|sildenafil orion|sildenafil orion|sildenafil accord|vizarsin|viagra|viagra|viagra|sildenafil stada|sildenafil sandoz|sildenafil stada|vizarsin|sildenafil orion|sildenafil stada|revatio|sildenafil teva pharma|granpidam|granpidam|orisild|revastad|balcoga"
"762",NA,"Sildenafil","Viagra",NA,"sildenafil|viagra"
"763","silodosiini","silodosin","Urorec|Urorec|Urorec",NA,"silodosiini|silodosin|urorec|urorec|urorec"
"764",NA,"Naproxen","Aleve|miranax","NSAID","naproxen|aleve|miranax"
"765","alendronaatti","alendronat","Alendronat Ratiopharm|Alendronat Ratiopharm|Alendronat Bluefish|Alendronat Mylan|Alendronat Mylan|Alendronat Mylan|Alendronat Sandoz|Alendronat Sandoz","Osteoporosis","alendronaatti|alendronat|alendronat ratiopharm|alendronat ratiopharm|alendronat bluefish|alendronat mylan|alendronat mylan|alendronat mylan|alendronat sandoz|alendronat sandoz"
"766",NA,"Alendronat","Fosamax","Osteoporosis","alendronat|fosamax"
"767","sisatrakuuri","sisterhood","Nimbex|Nimbex|Nimbex|Cisatracurium Accord|Cisatracurium Accord|Cisatracurium Accord|Cisatracurium Accord|Nimbex Forte",NA,"sisatrakuuri|sisterhood|nimbex|nimbex|nimbex|cisatracurium accord|cisatracurium accord|cisatracurium accord|cisatracurium accord|nimbex forte"
"768",NA,"Raloxifene","Evista","Osteoporosis","raloxifene|evista"
"769","risedronaatti","risedronate","Optinate Septimum|Risedronat Accord|Risedronat Accord|Risedronat Sandoz","Osteoporosis","risedronaatti|risedronate|optinate septimum|risedronat accord|risedronat accord|risedronat sandoz"
"770","natriumkromoglikaatti","sodium cromoglycate","Lecrolyn|Lomudal|Lomudal|Lomudal|Lecrolyn|Lecrolyn|Lomudal",NA,"natriumkromoglikaatti|sodium cromoglycate|lecrolyn|lomudal|lomudal|lomudal|lecrolyn|lecrolyn|lomudal"
"771","natriumfluoridi","sodium fluoride","Duraphat|Duraphat|Natriumfluoridi Morningside",NA,"natriumfluoridi|sodium fluoride|duraphat|duraphat|natriumfluoridi morningside"
